,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1996-11-30,87496.375,128731.0,100750.33333333333,61119.470588235294,167064.68421052632,138751.53846153847,160013.4,118368.0,177133.0,93381.76,70527.56666666667,239151.0,98797.0,83436.57142857143,90942.2,83690.6,74758.0,75425.64285714286,63203.5,87207.0,123386.8,141870.14285714287,87985.95652173914,96118.75,,76489.25,,90543.0,163806.25,88867.33333333333,122896.25,,73466.19230769231,97984.29166666667,,80090.58064516129,50795.85,126206.46153846153,82076.33333333333,132387.0,110981.2,41571.0,77479.44,91969.22222222222,166447.66666666666,103082.0,89576.375,128927.25,54426.666666666664,100990.8,
1996-12-31,87702.375,128891.0,101067.22222222222,61286.529411764706,167509.52631578947,139432.53846153847,160241.2,118301.0,177201.0,93575.44,70824.23333333334,237833.66666666666,98931.0,83608.28571428571,91512.0,84033.0,74860.0,75781.5,63512.25,87335.25,123460.0,142413.85714285713,88550.86956521739,95084.2,,76853.75,,90847.0,164124.5,89152.66666666667,123034.25,,73431.38461538461,98479.08333333333,,80391.51612903226,50929.85,126713.76923076923,82238.06666666667,132585.0,111335.2,41650.0,77797.24,92201.44444444444,166947.33333333334,103252.5,89795.375,128748.22222222222,54516.88888888889,101633.0,
1997-01-31,87842.75,128935.0,101327.77777777778,61439.94117647059,155755.5,140083.92307692306,159952.8,118323.0,176984.0,93718.04,71121.43333333333,237142.0,118055.5,83831.14285714286,92053.0,84341.2,75347.0,76081.64285714286,63727.25,87401.0,123637.0,142846.0,89140.04347826086,95445.0,,77215.5,,91161.0,164633.25,89567.0,123213.25,,73465.80769230769,99015.625,,80651.03225806452,51078.15,127285.07692307692,82346.53333333334,132546.0,111789.6,41805.0,78112.04,90709.6,167390.66666666666,103616.25,89965.5,128955.55555555556,54710.0,102317.6,
1997-02-28,83853.88888888889,129035.0,101682.44444444444,61703.76470588235,153826.16,140668.46153846153,160330.8,118344.0,176859.0,93899.08,71464.9,236635.66666666666,118459.5,84000.71428571429,92386.0,84564.4,75857.0,76279.57142857143,63914.25,87709.0,123908.8,143405.85714285713,89664.82608695653,95976.2,,77601.0,,91450.66666666667,165206.25,90094.0,123491.75,,73699.65384615384,99584.125,,80892.19354838709,51249.15,127807.07692307692,82446.73333333334,132435.0,112271.2,41773.0,78453.88,90815.9,167633.0,103817.0,90198.875,129222.22222222222,54917.0,102714.4,
1997-03-31,84090.88888888889,129226.0,101898.0,61950.05882352941,154236.6,141244.61538461538,159845.4,118428.0,176680.0,94046.16,71816.53333333334,235711.66666666666,118729.0,84247.14285714286,92772.2,84737.0,76349.0,76493.35714285714,64080.25,87933.75,124215.0,143954.14285714287,90218.73913043478,96574.0,,77885.5,,91959.0,165621.25,90705.83333333333,123815.0,,73980.46153846153,100122.75,,81105.48387096774,51403.85,128360.53846153847,82593.73333333334,132302.0,112804.8,41791.0,78814.12,90961.2,167803.0,104006.25,90434.875,129562.88888888889,55139.11111111111,103151.0,
1997-04-30,84446.88888888889,129538.0,102054.55555555556,62273.470588235294,154842.48,142043.6923076923,159939.8,118546.0,176777.0,94317.48,72200.16666666667,234324.66666666666,119167.5,84372.85714285714,89557.16666666667,84914.2,76434.0,76706.64285714286,64259.75,88262.5,124380.6,144561.85714285713,90730.17391304347,97254.6,,78158.25,,92465.33333333333,165937.25,91128.16666666667,124091.0,,74171.92307692308,100647.0,,81371.70967741935,51570.65,128783.38461538461,82818.73333333334,132376.0,113246.2,41841.0,79182.88,91156.8,168052.66666666666,103991.5,90723.75,130021.55555555556,55336.666666666664,103462.8,
1997-05-31,84799.44444444444,130159.0,102237.44444444444,62497.05882352941,155426.2,142851.38461538462,159555.6,118784.0,176729.0,94610.24,72552.0,232917.0,119633.0,84546.14285714286,89925.5,85113.0,76540.0,77024.85714285714,64556.75,88509.25,124636.0,145103.42857142858,91290.39130434782,98030.6,,78437.75,,92952.33333333333,166251.5,91293.5,124371.0,,74237.15384615384,101098.66666666667,,81789.40625,51744.55,129221.92307692308,84428.3125,132705.0,113741.2,42159.0,79519.36,91196.3,168540.66666666666,104226.5,91022.0,130442.33333333333,55487.77777777778,103841.8,
1997-06-30,85096.55555555556,130434.0,102455.22222222222,62690.23529411765,156053.88,143642.53846153847,159555.2,119005.0,176804.0,94941.04,72909.0,231983.33333333334,120192.5,84716.28571428571,91990.28571428571,85357.8,76677.0,77318.14285714286,64839.0,88930.0,124964.8,145601.42857142858,91784.95652173914,98750.0,,78803.0,,93324.33333333333,166649.75,91324.0,124662.75,,74300.65384615384,101512.41666666667,,82118.0625,51943.3,129591.53846153847,84671.0,133212.0,114194.6,42379.0,79817.04,91223.1,169190.66666666666,104760.75,91311.125,130788.55555555556,55610.333333333336,104152.0,
1997-07-31,85487.77777777778,130840.0,102714.33333333333,62810.705882352944,156808.32,144145.76923076922,159765.2,119406.0,176952.0,95250.6,73271.9,231235.66666666666,120796.0,84876.28571428571,92071.28571428571,85580.0,76878.0,77667.78571428571,65211.0,89302.25,125469.8,146132.0,92309.08695652174,99529.0,,79232.0,,93528.33333333333,167091.75,91287.83333333333,124968.0,,74432.0,101839.875,,82463.5,52140.1,129964.07692307692,84971.125,133643.0,114782.6,42633.0,80109.36,91110.1,169800.0,105397.25,91591.25,130202.5,55677.22222222222,104539.8,
1997-08-31,85931.77777777778,131275.0,102848.0,62957.05882352941,157536.48,144694.3076923077,159987.4,119721.0,177075.0,95559.84,73648.63333333333,230093.66666666666,121279.5,84769.0,92145.28571428571,85840.4,77029.0,77984.07142857143,65485.5,89553.75,125716.2,146703.57142857142,92834.04347826086,100225.4,,79641.0,,93876.33333333333,167260.75,91461.66666666667,125260.0,,74551.80769230769,102242.79166666667,,82765.21875,52342.95,130253.76923076923,85179.1875,133841.0,115387.8,42812.0,80421.04,91172.6,170299.0,105779.25,91865.25,130531.8,55803.88888888889,105063.2,
1997-09-30,86460.44444444444,131952.0,103065.22222222222,63177.05882352941,158354.4,145352.6923076923,160675.0,120129.0,177017.0,95911.28,74039.16666666667,228809.0,121649.0,84534.0,92203.28571428571,86065.0,77226.0,78286.28571428571,65762.0,89718.0,125803.4,147367.0,93401.60869565218,100940.6,,79966.25,,94229.0,167484.5,91714.5,125574.25,,74683.5,102743.41666666667,,83039.46875,52582.3,130614.92307692308,85440.0625,133946.0,116250.2,43181.0,80769.92,91281.8,170690.33333333334,105924.25,92187.25,130874.4,55994.77777777778,105560.8,
1997-10-31,86876.44444444444,132785.0,103196.22222222222,63384.41176470588,159033.16,146192.07692307694,161221.6,120580.0,176925.0,96271.16,74405.9,227839.33333333334,121950.0,84210.28571428571,92363.28571428571,86308.2,77373.0,78574.21428571429,66026.5,89821.5,125906.6,148073.14285714287,94047.04347826086,101619.6,,80202.25,,94647.66666666667,167642.0,92146.66666666667,125816.25,,74792.11538461539,103190.375,,83312.125,52853.9,130896.07692307692,85681.625,133950.0,117101.8,43552.0,81135.12,91565.3,171197.0,105767.25,92531.0,131339.8,56221.22222222222,105868.33333333333,
1997-11-30,87406.88888888889,133227.0,103535.44444444444,63645.94117647059,159913.4,147002.15384615384,161735.0,120922.0,176993.0,96690.2,74778.2,227245.66666666666,122154.0,83960.57142857143,92503.28571428571,86391.4,77577.0,78835.14285714286,66397.0,90106.5,126157.8,148876.85714285713,94636.30434782608,102250.6,,80425.5,,94844.66666666667,168065.25,92485.83333333333,126171.25,,75057.80769230769,103605.54166666667,,83623.46875,53107.9,131303.6923076923,86032.4375,134080.0,119344.0,43733.0,81500.68,91758.7,171443.66666666666,105798.25,92971.5,131858.9,56448.444444444445,105784.33333333333,
1997-12-31,86079.0,133716.0,103780.0,63896.529411764706,160812.92,147700.23076923078,161764.8,121247.0,177073.0,97061.52,75154.53333333334,226806.33333333334,122355.0,83837.42857142857,92574.71428571429,86463.6,77780.0,79106.42857142857,66713.75,90536.75,126462.0,149706.85714285713,95161.26086956522,102899.8,,80658.25,,95213.0,168486.25,92844.66666666667,126491.75,,75341.38461538461,103977.75,,83946.78125,53359.75,131689.6923076923,86329.5625,134220.0,120093.33333333333,43997.0,81838.24,91936.8,171694.33333333334,105788.75,93360.625,132427.6,56665.333333333336,105709.0,
1998-01-31,86632.2,133981.0,104180.33333333333,64256.94117647059,162040.2,148550.6923076923,162712.8,121589.0,177469.0,97627.4,75661.46666666666,225439.0,122511.0,83798.85714285714,90401.625,86535.8,77305.0,79613.14285714286,67108.75,91091.5,126708.6,150742.0,95696.56521739131,103663.8,,80945.5,,95666.33333333333,168704.0,93073.66666666667,126835.5,,75657.88461538461,104336.20833333333,,84363.03125,53644.1,132227.6923076923,86744.0,134866.0,120667.0,44093.0,82321.96,92220.6,172049.66666666666,105643.75,93828.375,133313.5,56888.0,105591.33333333333,
1998-02-28,87188.7,134343.0,104478.33333333333,64485.35294117647,163333.2,149330.15384615384,163487.8,121965.0,177839.0,98085.16,76073.26666666666,224078.66666666666,122601.5,83894.71428571429,90452.5,86659.8,76737.0,80203.07142857143,67400.5,91500.0,126908.0,151843.85714285713,96348.21739130435,104440.0,,81155.75,,96048.0,168997.75,93438.83333333333,127050.25,,75730.61538461539,104559.95833333333,,84829.34375,53895.3,132614.84615384616,87129.25,135577.0,121115.5,44014.0,82798.68,92560.6,172691.33333333334,105484.5,94087.125,134075.8,57046.22222222222,105830.16666666667,
1998-03-31,87648.5,134721.0,104861.77777777778,64668.0,164716.0,150126.46153846153,164633.6,122339.0,178324.0,98508.32,77450.06451612903,223268.66666666666,122762.5,83945.71428571429,90630.875,86898.6,76147.0,80819.64285714286,67792.75,91851.75,127080.0,153058.7142857143,96933.56521739131,105114.0,,81428.5,,96118.0,169290.25,93839.66666666667,127138.25,,75745.61538461539,104812.75,,85303.4375,54120.55,132938.07692307694,87478.8125,136302.0,121430.83333333333,43962.0,83236.88,93050.0,173343.33333333334,105537.75,94346.25,134725.0,57205.11111111111,106192.33333333333,
